# id	left	top	right	bottom	texture_id
# croutch
10051	0	0	24	24	12
10052	24	0	48	24	12
# climb
10053	48	0	72	24	12
10062	264	0	288	24	12
# left walk
10054	72	0	96	24	12
10055	96	0	120	24	12
10056	120	0	144	24	12
# left stand
10057	144	0	168	24	12
# right walk
10058	168	0	192	24	12
10059	192	0	216	24	12
10060	216	0	240	24	12
# right stand
10061	240	0	264	24	12
# right croutch
10063	288	0	312	24	12
10064	312	0	336	24	12
# left swim
10065	0	24	24	48	12
10066	24	24	48	48	12
# left dead
10067	48	24	72	48	12
# left dying
10068	72	24	96	48	12
10069	96	24	120	48	12
10070	120	24	144	48	12
10071	144	24	168	48	12
# right dying
10072	168	24	192	48	12
10073	192	24	216	48	12
10074	216	24	240	48	12
10075	240	24	264	48	12
# right dead
10076	264	24	288	48	12
# right swimming
10077	288	24	312	48	12
10078	312	24	336	48	12
