# id	left	top	right	bottom	texture_id
#left sprite only
# idle 1
10098	0	0	40	40	14
10099	40	0	80	40	14
10100	80	0	120	40	14
10101	120	0	160	40	14
# idle 2
10102	0	40	40	80	14
10103	40	40	80	80	14
10104	80	40	120	80	14
10105	120	40	160	80	14
# idle 3
10106	0	80	40	120	14
10107	40	80	80	120	14
10108	80	80	120	120	14
10109	120	80	160	120	14
# turning 2
10110	0	120	40	160	14
10111	40	120	80	160	14
10112	80	120	120	160	14
10113	120	120	160	160	14
# turning 3
10114	0	160	40	200	14
10115	40	160	80	200	14
10116	80	160	120	200	14
10117	120	160	160	200	14
# jumping normal
10118	0	200	40	240	14
10119	40	200	80	240	14
10120	80	200	120	240	14
10121	120	200	160	240	14
# turning 1
10122	0	240	40	280	14
10123	40	240	80	280	14
10124	80	240	120	280	14
10125	120	240	160	280	14
# looking up 3
10126	0	280	40	320	14
10127	40	280	80	320	14
10128	80	280	120	320	14
10129	120	280	160	320	14
# looking up 2
10130	0	320	40	360	14
10131	40	320	80	360	14
10132	80	320	120	360	14
10133	120	320	160	360	14
# looking up 1
10134	0	360	40	400	14
10135	40	360	80	400	14
10136	80	360	120	400	14
10137	120	360	160	400	14
# looked up 3
10138	0	400	40	440	14
10139	40	400	80	440	14
10140	80	400	120	440	14
10141	120	400	160	440	14
# looked up 2
10142	0	440	40	480	14
10143	40	440	80	480	14
10144	80	440	120	480	14
10145	120	440	160	480	14
# looked up 1
10146	0	480	40	520	14
10147	40	480	80	520	14
10148	80	480	120	520	14
10149	120	480	160	520	14
# looked up jump
10150	0	520	40	560	14
10151	40	520	80	560	14
10152	80	520	120	560	14
10153	120	520	160	560	14
# left vehicle
10154	40	560	80	600	14
# dying
10155	160	0	208	40	14
10156	160	47	223	87	14
10163	0	0	0	0	14
