# id	left	top	right	bottom	texture_id
# idle
20002	0	0	255	224	2
20003	259	0	514	224	2
20004	518	0	773	224	2
20005	777	0	1032	224	2
20006	0	227	255	451	2
20007	259	227	514	451	2
20008	518	227	773	451	2
20009	777	227	1032	451	2
20010	0	454	255	678	2
20011	259	454	514	678	2
20012	518	454	773	678	2
20013	777	454	1032	678	2
20014	0	681	255	905	2
20015	259	681	514	905	2
20016	518	681	773	905	2
20017	777	681	1032	905	2
20018	0	908	255	1132	2
20019	259	908	514	1132	2
20020	518	908	773	1132	2
20021	777	908	1032	1132	2
20022	0	1135	255	1359	2
20023	259	1135	514	1359	2
20024	518	1135	773	1359	2
20025	777	1135	1032	1359	2
20026	0	1362	255	1586	2
20027	259	1362	514	1586	2
20028	518	1362	773	1586	2
20029	777	1362	1032	1586	2
20030	0	1589	255	1813	2
20031	259	1589	514	1813	2
20032	518	1589	773	1813	2
20033	777	1589	1032	1813	2
20034	0	1816	255	2040	2
20035	259	1816	514	2040	2
20036	518	1816	773	2040	2
20037	777	1816	1032	2040	2
20038	0	2043	255	2267	2
